,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec,subject_no
0,1,Calming - One Back Task,L,0.0,3.0,,0.0,3
1,1,Calming - One Back Task,A,1432.0,3.0,3.0,2.0494999999999663,3
2,1,Calming - One Back Task,E,825.0,3.0,3.0,4.082499999999982,3
3,1,Calming - One Back Task,E,631.0,4.0,4.0,6.0989999999999895,3
4,1,Calming - One Back Task,E,531.0,4.0,4.0,8.131999999999948,3
5,1,Calming - One Back Task,O,421.0,3.0,3.0,10.16700000000003,3
6,1,Calming - One Back Task,A,849.0,4.0,3.0,12.232999999999947,3
7,1,Calming - One Back Task,A,1141.0,4.0,3.0,14.298000000000002,3
8,1,Calming - One Back Task,H,922.0,3.0,3.0,16.347999999999956,3
9,1,Calming - One Back Task,J,387.0,3.0,3.0,18.414499999999975,3
10,1,Calming - One Back Task,D,344.0,3.0,3.0,20.480500000000006,3
11,1,Calming - One Back Task,B,473.0,3.0,3.0,22.53099999999995,3
12,1,Calming - One Back Task,L,668.0,3.0,3.0,24.581000000000017,3
13,1,Calming - One Back Task,V,290.0,3.0,3.0,26.646499999999946,3
14,1,Calming - One Back Task,V,209.0,4.0,4.0,28.69799999999998,3
15,1,Calming - One Back Task,N,282.0,3.0,3.0,30.730000000000018,3
16,1,Calming - One Back Task,V,797.0,3.0,3.0,32.797000000000025,3
17,1,Calming - One Back Task,L,426.0,3.0,3.0,34.861999999999966,3
18,1,Calming - One Back Task,A,350.0,3.0,3.0,36.91250000000002,3
19,1,Calming - One Back Task,E,290.0,3.0,3.0,38.97849999999994,3
20,1,Calming - One Back Task,J,757.0,3.0,3.0,41.011999999999944,3
21,1,Calming - One Back Task,S,392.0,3.0,3.0,43.04449999999997,3
22,2,Calming - Three Back Task,P,0.0,3.0,,60.126499999999965,3
23,2,Calming - Three Back Task,F,0.0,3.0,,62.275499999999965,3
24,2,Calming - Three Back Task,Q,0.0,3.0,,64.45899999999995,3
25,2,Calming - Three Back Task,C,442.0,3.0,3.0,66.62549999999999,3
26,2,Calming - Three Back Task,N,765.0,3.0,3.0,68.69200000000001,3
27,2,Calming - Three Back Task,P,1063.0,3.0,3.0,70.72399999999993,3
28,2,Calming - Three Back Task,C,0.0,4.0,,72.72349999999994,3
29,2,Calming - Three Back Task,N,1147.0,3.0,3.0,74.74000000000001,3
30,2,Calming - Three Back Task,P,623.0,4.0,3.0,76.74000000000001,3
31,2,Calming - Three Back Task,C,462.0,4.0,4.0,78.73950000000002,3
32,2,Calming - Three Back Task,N,410.0,4.0,3.0,80.79049999999995,3
33,2,Calming - Three Back Task,V,0.0,3.0,,82.8895,3
34,2,Calming - Three Back Task,Q,892.0,3.0,3.0,85.10699999999997,3
35,2,Calming - Three Back Task,M,544.0,3.0,3.0,87.2065,3
36,2,Calming - Three Back Task,H,555.0,3.0,3.0,89.30599999999993,3
37,2,Calming - Three Back Task,Q,325.0,4.0,4.0,91.40599999999995,3
38,2,Calming - Three Back Task,X,529.0,3.0,3.0,93.50549999999998,3
39,2,Calming - Three Back Task,N,822.0,3.0,3.0,95.60399999999993,3
40,2,Calming - Three Back Task,Z,532.0,3.0,3.0,97.68849999999998,3
41,2,Calming - Three Back Task,F,457.0,3.0,3.0,99.755,3
42,2,Calming - Three Back Task,C,815.0,3.0,3.0,101.80349999999999,3
43,2,Calming - Three Back Task,H,356.0,3.0,3.0,103.85299999999995,3
44,3,Calming - Three Back Task,D,0.0,3.0,,120.9855,3
45,3,Calming - Three Back Task,X,0.0,3.0,,123.11699999999996,3
46,3,Calming - Three Back Task,M,0.0,3.0,,125.25099999999998,3
47,3,Calming - Three Back Task,I,289.0,3.0,3.0,127.40099999999995,3
48,3,Calming - Three Back Task,X,1378.0,3.0,4.0,129.46849999999995,3
49,3,Calming - Three Back Task,M,840.0,4.0,4.0,131.53449999999998,3
50,3,Calming - Three Back Task,P,629.0,3.0,3.0,133.6005,3
51,3,Calming - Three Back Task,S,560.0,3.0,3.0,135.68399999999997,3
52,3,Calming - Three Back Task,A,876.0,3.0,4.0,137.75,3
53,3,Calming - Three Back Task,N,759.0,3.0,3.0,139.7985,3
54,3,Calming - Three Back Task,W,191.0,3.0,3.0,141.86649999999997,3
55,3,Calming - Three Back Task,V,552.0,3.0,3.0,143.91449999999998,3
56,3,Calming - Three Back Task,A,465.0,3.0,3.0,145.96499999999992,3
57,3,Calming - Three Back Task,W,381.0,4.0,4.0,148.01549999999997,3
58,3,Calming - Three Back Task,B,163.0,3.0,3.0,150.11450000000002,3
59,3,Calming - Three Back Task,A,301.0,4.0,4.0,152.1975,3
60,3,Calming - Three Back Task,Y,271.0,3.0,3.0,154.28099999999995,3
61,3,Calming - Three Back Task,B,322.0,4.0,3.0,156.33050000000003,3
62,3,Calming - Three Back Task,A,519.0,4.0,4.0,158.39699999999993,3
63,3,Calming - Three Back Task,R,477.0,3.0,3.0,160.46349999999995,3
64,3,Calming - Three Back Task,P,998.0,3.0,3.0,162.529,3
65,3,Calming - Three Back Task,C,859.0,3.0,3.0,164.59500000000003,3
66,4,Calming - One Back Task,V,0.0,3.0,,181.69349999999997,3
67,4,Calming - One Back Task,I,198.0,3.0,3.0,183.79399999999998,3
68,4,Calming - One Back Task,Q,293.0,3.0,3.0,185.84249999999997,3
69,4,Calming - One Back Task,H,112.0,3.0,3.0,187.89199999999994,3
70,4,Calming - One Back Task,C,97.0,3.0,3.0,189.942,3
71,4,Calming - One Back Task,N,127.0,3.0,3.0,191.99249999999995,3
72,4,Calming - One Back Task,V,389.0,3.0,3.0,194.04250000000002,3
73,4,Calming - One Back Task,Y,333.0,3.0,3.0,196.10950000000003,3
74,4,Calming - One Back Task,Y,267.0,4.0,4.0,198.17499999999995,3
75,4,Calming - One Back Task,K,275.0,3.0,3.0,200.20799999999997,3
76,4,Calming - One Back Task,K,336.0,4.0,4.0,202.27499999999998,3
77,4,Calming - One Back Task,I,472.0,3.0,3.0,204.32449999999994,3
78,4,Calming - One Back Task,I,202.0,4.0,4.0,206.39099999999996,3
79,4,Calming - One Back Task,O,433.0,3.0,3.0,208.47349999999994,3
80,4,Calming - One Back Task,E,647.0,3.0,3.0,210.53999999999996,3
81,4,Calming - One Back Task,D,369.0,3.0,3.0,212.62249999999995,3
82,4,Calming - One Back Task,V,298.0,3.0,3.0,214.7065,3
83,4,Calming - One Back Task,V,665.0,4.0,4.0,216.77249999999992,3
84,4,Calming - One Back Task,N,376.0,3.0,3.0,218.8225,3
85,4,Calming - One Back Task,N,264.0,4.0,4.0,220.87249999999995,3
86,4,Calming - One Back Task,D,259.0,3.0,3.0,222.92099999999994,3
87,4,Calming - One Back Task,W,385.0,3.0,3.0,224.98699999999997,3
88,5,Calming - Three Back Task,C,0.0,3.0,,242.0525,3
89,5,Calming - Three Back Task,B,0.0,3.0,,244.18599999999992,3
90,5,Calming - Three Back Task,Q,0.0,3.0,,246.31949999999995,3
91,5,Calming - Three Back Task,Y,206.0,3.0,3.0,248.43499999999995,3
92,5,Calming - Three Back Task,R,601.0,3.0,3.0,250.485,3
93,5,Calming - Three Back Task,I,674.0,3.0,3.0,252.55099999999993,3
94,5,Calming - Three Back Task,Y,793.0,4.0,4.0,254.61849999999993,3
95,5,Calming - Three Back Task,N,1194.0,3.0,3.0,256.668,3
96,5,Calming - Three Back Task,Y,935.0,3.0,4.0,258.73299999999995,3
97,5,Calming - Three Back Task,X,359.0,3.0,3.0,260.783,3
98,5,Calming - Three Back Task,F,822.0,3.0,3.0,262.817,3
99,5,Calming - Three Back Task,U,650.0,3.0,3.0,264.8835,3
100,5,Calming - Three Back Task,H,765.0,4.0,3.0,266.94899999999996,3
101,5,Calming - Three Back Task,U,942.0,3.0,3.0,268.999,3
102,5,Calming - Three Back Task,U,507.0,3.0,4.0,271.0145,3
103,5,Calming - Three Back Task,H,819.0,4.0,4.0,273.014,3
104,5,Calming - Three Back Task,W,1092.0,3.0,3.0,275.014,3
105,5,Calming - Three Back Task,U,1160.0,4.0,3.0,277.0135,3
106,5,Calming - Three Back Task,H,1007.0,4.0,4.0,279.0135,3
107,5,Calming - Three Back Task,F,527.0,3.0,3.0,281.03149999999994,3
108,5,Calming - Three Back Task,I,624.0,3.0,3.0,283.0635,3
109,5,Calming - Three Back Task,V,774.0,3.0,3.0,285.11299999999994,3
110,6,Calming - One Back Task,U,0.0,3.0,,302.1954999999999,3
111,6,Calming - One Back Task,R,216.0,3.0,3.0,304.29449999999997,3
112,6,Calming - One Back Task,O,155.0,3.0,3.0,306.345,3
