reaction_time,task_type,trial,session,subject
0.0,1-back,1,Vexing,11
0.0,1-back,1,Vexing,11
318.0,1-back,1,Vexing,11
98.0,1-back,1,Vexing,11
271.0,1-back,1,Vexing,11
134.0,1-back,1,Vexing,11
71.0,1-back,1,Vexing,11
396.0,1-back,1,Vexing,11
12.0,1-back,1,Vexing,11
115.0,1-back,1,Vexing,11
339.0,1-back,1,Vexing,11
77.0,1-back,1,Vexing,11
265.0,1-back,1,Vexing,11
35.0,1-back,1,Vexing,11
107.0,1-back,1,Vexing,11
456.0,1-back,1,Vexing,11
87.0,1-back,1,Vexing,11
44.0,1-back,1,Vexing,11
203.0,1-back,1,Vexing,11
0.0,1-back,1,Vexing,11
84.0,1-back,1,Vexing,11
400.0,1-back,1,Vexing,11
0.0,3-back,2,Vexing,11
0.0,3-back,2,Vexing,11
0.0,3-back,2,Vexing,11
552.0,3-back,2,Vexing,11
975.0,3-back,2,Vexing,11
1173.0,3-back,2,Vexing,11
784.0,3-back,2,Vexing,11
762.0,3-back,2,Vexing,11
83.0,3-back,2,Vexing,11
66.0,3-back,2,Vexing,11
109.0,3-back,2,Vexing,11
399.0,3-back,2,Vexing,11
429.0,3-back,2,Vexing,11
109.0,3-back,2,Vexing,11
0.0,3-back,2,Vexing,11
472.0,3-back,2,Vexing,11
555.0,3-back,2,Vexing,11
526.0,3-back,2,Vexing,11
45.0,3-back,2,Vexing,11
448.0,3-back,2,Vexing,11
102.0,3-back,2,Vexing,11
445.0,3-back,2,Vexing,11
0.0,1-back,3,Vexing,11
799.0,1-back,3,Vexing,11
498.0,1-back,3,Vexing,11
84.0,1-back,3,Vexing,11
0.0,1-back,3,Vexing,11
71.0,1-back,3,Vexing,11
76.0,1-back,3,Vexing,11
90.0,1-back,3,Vexing,11
0.0,1-back,3,Vexing,11
466.0,1-back,3,Vexing,11
401.0,1-back,3,Vexing,11
385.0,1-back,3,Vexing,11
34.0,1-back,3,Vexing,11
421.0,1-back,3,Vexing,11
475.0,1-back,3,Vexing,11
372.0,1-back,3,Vexing,11
286.0,1-back,3,Vexing,11
0.0,1-back,3,Vexing,11
119.0,1-back,3,Vexing,11
0.0,1-back,3,Vexing,11
386.0,1-back,3,Vexing,11
438.0,1-back,3,Vexing,11
0.0,3-back,4,Vexing,11
0.0,3-back,4,Vexing,11
0.0,3-back,4,Vexing,11
95.0,3-back,4,Vexing,11
270.0,3-back,4,Vexing,11
304.0,3-back,4,Vexing,11
285.0,3-back,4,Vexing,11
371.0,3-back,4,Vexing,11
142.0,3-back,4,Vexing,11
54.0,3-back,4,Vexing,11
217.0,3-back,4,Vexing,11
0.0,3-back,4,Vexing,11
53.0,3-back,4,Vexing,11
1169.0,3-back,4,Vexing,11
198.0,3-back,4,Vexing,11
97.0,3-back,4,Vexing,11
476.0,3-back,4,Vexing,11
0.0,3-back,4,Vexing,11
255.0,3-back,4,Vexing,11
200.0,3-back,4,Vexing,11
166.0,3-back,4,Vexing,11
483.0,3-back,4,Vexing,11
0.0,1-back,5,Vexing,11
719.0,1-back,5,Vexing,11
568.0,1-back,5,Vexing,11
444.0,1-back,5,Vexing,11
375.0,1-back,5,Vexing,11
446.0,1-back,5,Vexing,11
82.0,1-back,5,Vexing,11
405.0,1-back,5,Vexing,11
83.0,1-back,5,Vexing,11
104.0,1-back,5,Vexing,11
462.0,1-back,5,Vexing,11
87.0,1-back,5,Vexing,11
426.0,1-back,5,Vexing,11
103.0,1-back,5,Vexing,11
436.0,1-back,5,Vexing,11
349.0,1-back,5,Vexing,11
161.0,1-back,5,Vexing,11
202.0,1-back,5,Vexing,11
265.0,1-back,5,Vexing,11
114.0,1-back,5,Vexing,11
496.0,1-back,5,Vexing,11
82.0,1-back,5,Vexing,11
0.0,3-back,6,Vexing,11
0.0,3-back,6,Vexing,11
0.0,3-back,6,Vexing,11
482.0,3-back,6,Vexing,11
227.0,3-back,6,Vexing,11
133.0,3-back,6,Vexing,11
192.0,3-back,6,Vexing,11
107.0,3-back,6,Vexing,11
1054.0,3-back,6,Vexing,11
739.0,3-back,6,Vexing,11
917.0,3-back,6,Vexing,11
299.0,3-back,6,Vexing,11
0.0,3-back,6,Vexing,11
0.0,3-back,6,Vexing,11
112.0,3-back,6,Vexing,11
268.0,3-back,6,Vexing,11
861.0,3-back,6,Vexing,11
365.0,3-back,6,Vexing,11
0.0,3-back,6,Vexing,11
425.0,3-back,6,Vexing,11
22.0,3-back,6,Vexing,11
339.0,3-back,6,Vexing,11
0.0,1-back,7,Vexing,11
583.0,1-back,7,Vexing,11
69.0,1-back,7,Vexing,11
113.0,1-back,7,Vexing,11
410.0,1-back,7,Vexing,11
455.0,1-back,7,Vexing,11
119.0,1-back,7,Vexing,11
175.0,1-back,7,Vexing,11
215.0,1-back,7,Vexing,11
487.0,1-back,7,Vexing,11
158.0,1-back,7,Vexing,11
473.0,1-back,7,Vexing,11
0.0,1-back,7,Vexing,11
