,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
0,1,One Back Task,L,0.0,3.0,,0.0
1,1,One Back Task,A,838.0,3.0,3.0,2.0154999999999745
2,1,One Back Task,E,374.0,3.0,3.0,4.0150000000001
3,1,One Back Task,E,405.0,4.0,4.0,6.0150000000001
4,1,One Back Task,E,39.0,4.0,4.0,8.014499999999998
5,1,One Back Task,O,190.0,3.0,3.0,10.014499999999998
6,1,One Back Task,A,272.0,4.0,4.0,12.048000000000002
7,1,One Back Task,A,486.0,4.0,3.0,14.081000000000131
8,1,One Back Task,H,165.0,3.0,4.0,16.114500000000135
9,1,One Back Task,J,310.0,3.0,3.0,18.147000000000162
10,1,One Back Task,D,443.0,3.0,3.0,20.180500000000166
11,1,One Back Task,B,184.0,3.0,3.0,22.212999999999965
12,1,One Back Task,L,95.0,3.0,3.0,24.24700000000007
13,1,One Back Task,V,86.0,3.0,3.0,26.279999999999973
14,1,One Back Task,V,92.0,4.0,4.0,28.330000000000155
15,1,One Back Task,N,42.0,3.0,3.0,30.395999999999958
16,1,One Back Task,V,94.0,3.0,3.0,32.462999999999965
17,1,One Back Task,L,378.0,3.0,3.0,34.51150000000007
18,1,One Back Task,A,162.0,3.0,3.0,36.54449999999997
19,1,One Back Task,E,444.0,3.0,3.0,38.577999999999975
20,1,One Back Task,J,310.0,3.0,3.0,40.627500000000055
21,1,One Back Task,S,442.0,3.0,3.0,42.660499999999956
22,2,Three Back Task,P,0.0,3.0,,59.70900000000006
23,2,Three Back Task,F,0.0,3.0,,61.825000000000045
24,2,Three Back Task,Q,0.0,3.0,,63.94150000000013
25,2,Three Back Task,C,225.0,3.0,3.0,66.07400000000007
26,2,Three Back Task,N,377.0,3.0,3.0,68.14100000000008
27,2,Three Back Task,P,1182.0,3.0,3.0,70.19000000000005
28,2,Three Back Task,C,1073.0,4.0,3.0,72.25649999999996
29,2,Three Back Task,N,414.0,3.0,4.0,74.34050000000002
30,2,Three Back Task,P,913.0,4.0,3.0,76.40600000000018
31,2,Three Back Task,C,677.0,4.0,4.0,78.47250000000008
32,2,Three Back Task,N,691.0,4.0,3.0,80.53850000000011
33,2,Three Back Task,V,565.0,3.0,3.0,82.57150000000001
34,2,Three Back Task,Q,762.0,3.0,3.0,84.60450000000014
35,2,Three Back Task,M,499.0,3.0,3.0,86.63750000000005
36,2,Three Back Task,H,271.0,3.0,3.0,88.67050000000017
37,2,Three Back Task,Q,969.0,4.0,4.0,90.721
38,2,Three Back Task,X,410.0,3.0,3.0,92.77050000000008
39,2,Three Back Task,N,957.0,3.0,4.0,94.82000000000016
40,2,Three Back Task,Z,266.0,3.0,3.0,96.88650000000007
41,2,Three Back Task,F,867.0,3.0,3.0,98.93600000000015
42,2,Three Back Task,C,523.0,3.0,4.0,101.00300000000016
43,2,Three Back Task,H,1167.0,3.0,4.0,103.05250000000001
44,3,Three Back Task,D,0.0,3.0,,120.13400000000001
45,3,Three Back Task,X,0.0,3.0,,122.2505000000001
46,3,Three Back Task,M,0.0,3.0,,124.31650000000013
47,3,Three Back Task,I,219.0,3.0,3.0,126.43299999999999
48,3,Three Back Task,X,14.0,3.0,4.0,128.51650000000018
49,3,Three Back Task,M,827.0,4.0,4.0,130.60000000000014
50,3,Three Back Task,P,295.0,3.0,3.0,132.69950000000017
51,3,Three Back Task,S,272.0,3.0,4.0,134.78250000000003
52,3,Three Back Task,A,291.0,3.0,3.0,136.8655000000001
53,3,Three Back Task,N,970.0,3.0,4.0,138.94849999999997
54,3,Three Back Task,W,290.0,3.0,3.0,141.0150000000001
55,3,Three Back Task,V,350.0,3.0,3.0,143.08100000000013
56,3,Three Back Task,A,281.0,3.0,4.0,145.13049999999998
57,3,Three Back Task,W,446.0,4.0,4.0,147.18000000000006
58,3,Three Back Task,B,177.0,3.0,3.0,149.23000000000002
59,3,Three Back Task,A,536.0,4.0,4.0,151.26300000000015
60,3,Three Back Task,Y,158.0,3.0,3.0,153.3125
61,3,Three Back Task,B,353.0,4.0,4.0,155.346
62,3,Three Back Task,A,0.0,4.0,,157.37900000000013
63,3,Three Back Task,R,254.0,3.0,3.0,159.462
64,3,Three Back Task,P,176.0,3.0,3.0,161.279
65,3,Three Back Task,C,1078.0,3.0,3.0,163.31349999999998
66,4,One Back Task,V,0.0,3.0,,180.37650000000008
67,4,One Back Task,I,1484.0,3.0,3.0,182.52650000000017
68,4,One Back Task,Q,342.0,3.0,3.0,184.625
69,4,One Back Task,H,592.0,3.0,3.0,186.6590000000001
70,4,One Back Task,C,305.0,3.0,3.0,188.70849999999996
71,4,One Back Task,N,963.0,3.0,3.0,190.75800000000004
72,4,One Back Task,V,389.0,3.0,3.0,192.79150000000004
73,4,One Back Task,Y,293.0,3.0,3.0,194.84050000000002
74,4,One Back Task,Y,426.0,4.0,3.0,196.87450000000013
75,4,One Back Task,K,281.0,3.0,3.0,198.89049999999997
76,4,One Back Task,K,58.0,4.0,4.0,200.9235000000001
77,4,One Back Task,I,234.0,3.0,3.0,202.95600000000013
78,4,One Back Task,I,372.0,4.0,4.0,204.98950000000013
79,4,One Back Task,O,89.0,3.0,3.0,206.97250000000008
80,4,One Back Task,E,434.0,3.0,3.0,209.00549999999998
81,4,One Back Task,D,471.0,3.0,3.0,211.0385000000001
82,4,One Back Task,V,101.0,3.0,3.0,213.10550000000012
83,4,One Back Task,V,95.0,4.0,4.0,215.13850000000002
84,4,One Back Task,N,98.0,3.0,3.0,217.17100000000005
85,4,One Back Task,N,273.0,4.0,4.0,219.20450000000005
86,4,One Back Task,D,124.0,3.0,3.0,221.23750000000018
87,4,One Back Task,W,431.0,3.0,3.0,223.288
88,5,Three Back Task,C,0.0,3.0,,240.30100000000016
89,5,Three Back Task,B,0.0,3.0,,242.36800000000017
90,5,Three Back Task,Q,0.0,3.0,,244.45100000000002
91,5,Three Back Task,Y,754.0,3.0,4.0,246.55100000000016
92,5,Three Back Task,R,871.0,3.0,3.0,248.58349999999996
93,5,Three Back Task,I,379.0,3.0,3.0,250.63350000000014
94,5,Three Back Task,Y,919.0,4.0,4.0,252.66600000000017
95,5,Three Back Task,N,0.0,3.0,,254.69950000000017
96,5,Three Back Task,Y,193.0,3.0,4.0,256.7825
97,5,Three Back Task,X,748.0,3.0,3.0,258.56600000000003
98,5,Three Back Task,F,1110.0,3.0,4.0,260.6165000000001
99,5,Three Back Task,U,486.0,3.0,4.0,262.66550000000007
100,5,Three Back Task,H,795.0,4.0,4.0,264.69849999999997
101,5,Three Back Task,U,710.0,3.0,3.0,266.7315000000001
102,5,Three Back Task,U,262.0,3.0,4.0,268.7640000000001
103,5,Three Back Task,H,345.0,4.0,3.0,270.798
104,5,Three Back Task,W,426.0,3.0,3.0,272.83100000000013
105,5,Three Back Task,U,270.0,4.0,4.0,274.86350000000016
106,5,Three Back Task,H,480.0,4.0,4.0,276.89750000000004
107,5,Three Back Task,F,359.0,3.0,4.0,278.93000000000006
108,5,Three Back Task,I,204.0,3.0,3.0,280.98
109,5,Three Back Task,V,824.0,3.0,4.0,283.0305000000001
110,6,One Back Task,U,0.0,3.0,,300.077
111,6,One Back Task,R,624.0,3.0,4.0,302.16049999999996
112,6,One Back Task,O,388.0,3.0,4.0,304.193
113,6,One Back Task,P,29.0,3.0,3.0,306.24250000000006
114,6,One Back Task,P,633.0,4.0,4.0,307.92600000000016
115,6,One Back Task,P,206.0,4.0,4.0,309.99300000000017
116,6,One Back Task,U,304.0,3.0,3.0,312.0585000000001
117,6,One Back Task,Z,0.0,3.0,,314.125
118,6,One Back Task,U,482.0,3.0,3.0,316.25850000000014
119,6,One Back Task,M,378.0,3.0,3.0,318.32400000000007
120,6,One Back Task,M,476.0,4.0,4.0,320.3745000000001
121,6,One Back Task,W,232.0,3.0,3.0,322.491
122,6,One Back Task,I,241.0,3.0,3.0,324.558
123,6,One Back Task,F,0.0,3.0,,326.6410000000001
124,6,One Back Task,M,0.0,3.0,,328.8410000000001
125,6,One Back Task,A,0.0,3.0,,331.04100000000017
126,6,One Back Task,G,453.0,3.0,3.0,333.24
127,6,One Back Task,G,81.0,4.0,4.0,335.3900000000001
128,6,One Back Task,R,361.0,3.0,3.0,337.48950000000013
129,6,One Back Task,Q,168.0,3.0,3.0,339.58900000000017
130,6,One Back Task,R,470.0,4.0,3.0,341.6725000000001
131,6,One Back Task,Q,0.0,3.0,,343.855
132,7,One Back Task,S,0.0,3.0,,361.00250000000005
133,7,One Back Task,R,753.0,3.0,3.0,363.08500000000004
134,7,One Back Task,V,17.0,3.0,3.0,365.15200000000004
135,7,One Back Task,V,465.0,4.0,4.0,367.2180000000001
136,7,One Back Task,O,156.0,3.0,3.0,369.30200000000013
137,7,One Back Task,A,200.0,3.0,3.0,371.33450000000016
138,7,One Back Task,C,372.0,3.0,3.0,373.384
139,7,One Back Task,N,465.0,3.0,3.0,375.384
140,7,One Back Task,Y,448.0,3.0,3.0,377.5345
141,7,One Back Task,V,402.0,3.0,3.0,379.6165000000001
142,7,One Back Task,V,161.0,4.0,4.0,381.616
143,7,One Back Task,J,185.0,3.0,3.0,383.6500000000001
144,7,One Back Task,U,33.0,3.0,3.0,385.69900000000007
145,7,One Back Task,U,17.0,4.0,4.0,387.7325000000001
146,7,One Back Task,U,31.0,4.0,4.0,389.78200000000015
147,7,One Back Task,Y,465.0,3.0,3.0,391.84900000000016
148,7,One Back Task,Y,452.0,4.0,4.0,393.93100000000004
149,7,One Back Task,J,251.0,3.0,3.0,396.0310000000002
150,7,One Back Task,I,154.0,3.0,3.0,398.09850000000006
151,7,One Back Task,S,240.0,3.0,3.0,400.19849999999997
152,7,One Back Task,U,447.0,3.0,3.0,402.2475000000002
153,7,One Back Task,P,428.0,3.0,3.0,404.297
154,8,Three Back Task,L,0.0,3.0,,421.328
155,8,Three Back Task,A,0.0,3.0,,423.4275
156,8,Three Back Task,P,0.0,3.0,,425.5105000000001
157,8,Three Back Task,L,303.0,4.0,4.0,427.5935000000002
158,8,Three Back Task,A,213.0,4.0,4.0,429.6270000000002
159,8,Three Back Task,N,151.0,3.0,3.0,431.67650000000003
160,8,Three Back Task,W,431.0,3.0,3.0,433.70950000000016
